condition,color,pretraining,dimensionality,repeat,outer_fold,selected_model,inner_macro_f1,train_instances,test_originals,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
gray+pretrained+full512,gray,pretrained,full512,2,2,SVM (RBF),0.9506155409928995,400,40,0.925,0.9045584045584045,0.9226190476190477,0.9045584045584045,0.9127272727272727,0.8269802600806244,0.8461538461538461,0.9629629629629629
gray+pretrained+full512,gray,pretrained,full512,2,3,SVM (RBF),0.9552476322288723,400,41,0.926829268292683,0.9464285714285714,0.90625,0.9464285714285714,0.9199739752765127,0.8517314298365586,1.0,0.8928571428571429
gray+pretrained+full512,gray,pretrained,full512,2,4,Logistic Regression,0.9299031666061595,400,40,0.975,0.9821428571428572,0.9615384615384616,0.9821428571428572,0.9709090909090909,0.9434563530497264,1.0,0.9642857142857143
gray+pretrained+full512,gray,pretrained,full512,2,5,SVM (RBF),0.9285458721559893,400,40,0.975,0.9814814814814814,0.9642857142857143,0.9814814814814814,0.9720475192173306,0.9456108576893004,1.0,0.9629629629629629
gray+pretrained+full512,gray,pretrained,full512,3,1,Logistic Regression,0.9205149323073851,400,41,0.975609756097561,0.9615384615384616,0.9827586206896552,0.9615384615384616,0.9712280701754386,0.9440586233651661,0.9230769230769231,1.0
gray+pretrained+full512,gray,pretrained,full512,3,2,Logistic Regression,0.9439469780743365,400,40,0.975,0.9615384615384616,0.9821428571428572,0.9615384615384616,0.9709090909090909,0.9434563530497264,0.9230769230769231,1.0
gray+pretrained+full512,gray,pretrained,full512,3,3,Random Forest,0.963681050917893,400,40,0.9,0.905982905982906,0.88,0.905982905982906,0.8901098901098901,0.7855533190649869,0.9230769230769231,0.8888888888888888
gray+pretrained+full512,gray,pretrained,full512,3,4,Logistic Regression,0.9716594822019351,400,40,0.9,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.7619047619047619,0.8333333333333334,0.9285714285714286
gray+pretrained+full512,gray,pretrained,full512,3,5,Random Forest,0.9294619871742513,400,40,0.925,0.9245014245014245,0.9093406593406593,0.9245014245014245,0.9161425576519916,0.8337042473118683,0.9230769230769231,0.9259259259259259
gray+pretrained+full512,gray,pretrained,full512,4,1,Logistic Regression,0.9642639974967562,400,40,0.9,0.8660968660968661,0.9028213166144201,0.8660968660968661,0.8809523809523809,0.7680406801974818,0.7692307692307693,0.9629629629629629
gray+pretrained+full512,gray,pretrained,full512,4,2,SVM (RBF),0.9503467671392201,400,40,0.975,0.9821428571428572,0.9615384615384616,0.9821428571428572,0.9709090909090909,0.9434563530497264,1.0,0.9642857142857143
gray+pretrained+full512,gray,pretrained,full512,4,3,SVM (RBF),0.9492291042291043,400,41,0.8536585365853658,0.8310439560439561,0.8310439560439561,0.8310439560439561,0.8310439560439561,0.6620879120879121,0.7692307692307693,0.8928571428571429
gray+pretrained+full512,gray,pretrained,full512,4,4,SVM (RBF),0.9503627696552225,400,40,0.95,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.886039886039886,0.9230769230769231,0.9629629629629629
gray+pretrained+full512,gray,pretrained,full512,4,5,SVM (RBF),0.9203464380352252,400,40,0.975,0.9814814814814814,0.9642857142857143,0.9814814814814814,0.9720475192173306,0.9456108576893004,1.0,0.9629629629629629
gray+pretrained+full512,gray,pretrained,full512,5,1,SVM (RBF),0.9572174575948161,400,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gray+pretrained+full512,gray,pretrained,full512,5,2,Random Forest,0.9497742402509035,400,40,0.95,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.886039886039886,0.9230769230769231,0.9629629629629629
