repeat,outer_fold,inner_fold,phase,kelas,is_augmented,instances
5,5,3,inner_selection,batik,True,118
5,5,3,inner_selection,non_batik,False,39
5,5,3,inner_selection,non_batik,True,161
5,5,4,inner_selection,batik,False,83
5,5,4,inner_selection,batik,True,117
5,5,4,inner_selection,non_batik,False,38
5,5,4,inner_selection,non_batik,True,162
5,5,all,outer_fit,batik,False,110
5,5,all,outer_fit,batik,True,90
5,5,all,outer_fit,non_batik,False,51
5,5,all,outer_fit,non_batik,True,149
