repeat,outer_fold,feature_set,model,inner_macro_f1_mean,inner_macro_f1_std,inner_fold_scores
2,2,Frekuensi,Logistic Regression,0.4297379650446775,0.10911249103567709,"[0.301187980433, 0.559139784946, 0.464285714286, 0.394338380513]"
2,2,Frekuensi,SVM (RBF),0.6042458287662891,0.047832644148135914,"[0.583333333333, 0.674603174603, 0.568253968254, 0.590792838875]"
2,2,Frekuensi,Random Forest,0.6045566102339707,0.03132433052071008,"[0.58071278826, 0.605769230769, 0.583333333333, 0.648411088573]"
2,2,Gabungan 6 Fitur,Logistic Regression,0.8130917230917232,0.04908144021967508,"[0.78021978022, 0.789743589744, 0.796363636364, 0.88603988604]"
2,2,Gabungan 6 Fitur,SVM (RBF),0.9091519327620499,0.02485577455424769,"[0.916142557652, 0.941091954023, 0.88603988604, 0.893333333333]"
2,2,Gabungan 6 Fitur,Random Forest,0.8924841107168693,0.0454275547079189,"[0.912727272727, 0.941091954023, 0.880952380952, 0.835164835165]"
2,3,Edge/Morfologi,Logistic Regression,0.7476399006071017,0.09934241044212014,"[0.786666666667, 0.864773495605, 0.636617749825, 0.702501690331]"
2,3,Edge/Morfologi,SVM (RBF),0.743841508807922,0.06738679136561611,"[0.7150997151, 0.78021978022, 0.664378337147, 0.815668202765]"
2,3,Edge/Morfologi,Random Forest,0.7352818477818479,0.052067387287429254,"[0.68, 0.786666666667, 0.702380952381, 0.77207977208]"
2,3,Tekstur,Logistic Regression,0.7681218655794927,0.04902703475389461,"[0.761904761905, 0.77207977208, 0.82905982906, 0.709443099274]"
2,3,Tekstur,SVM (RBF),0.8252461838519042,0.015641950076611417,"[0.821428571429, 0.810682893847, 0.821428571429, 0.847444698703]"
2,3,Tekstur,Random Forest,0.8048720628030973,0.046481158048816855,"[0.854545454545, 0.786666666667, 0.82905982906, 0.74921630094]"
2,3,Frekuensi,Logistic Regression,0.6000988633866157,0.08567288068382621,"[0.66473243069, 0.641943734015, 0.619047619048, 0.474671669794]"
2,3,Frekuensi,SVM (RBF),0.6018326301626249,0.11070564932797053,"[0.669841269841, 0.66473243069, 0.635416666667, 0.437340153453]"
2,3,Frekuensi,Random Forest,0.5883034852608889,0.15198447518092675,"[0.733333333333, 0.702501690331, 0.430199430199, 0.487179487179]"
2,3,Gabungan 6 Fitur,Logistic Regression,0.8427960927960927,0.06112632599053964,"[0.89010989011, 0.89010989011, 0.82905982906, 0.761904761905]"
2,3,Gabungan 6 Fitur,SVM (RBF),0.8794050533673174,0.027143783235136252,"[0.860237596087, 0.89010989011, 0.912727272727, 0.854545454545]"
2,3,Gabungan 6 Fitur,Random Forest,0.8928853945364458,0.023875113220048188,"[0.912727272727, 0.89010989011, 0.860237596087, 0.908466819222]"
2,4,Edge/Morfologi,Logistic Regression,0.797653255200425,0.04364243774126551,"[0.751515151515, 0.804332634521, 0.78021978022, 0.854545454545]"
2,4,Edge/Morfologi,SVM (RBF),0.7877816529965779,0.05650119346667855,"[0.728076639646, 0.854545454545, 0.756592292089, 0.811912225705]"
2,4,Edge/Morfologi,Random Forest,0.781034240830612,0.10301843626701924,"[0.68350877193, 0.918864097363, 0.796363636364, 0.725400457666]"
2,4,Tekstur,Logistic Regression,0.7630879114340943,0.047374181773305796,"[0.751515151515, 0.702501690331, 0.811912225705, 0.786422578185]"
2,4,Tekstur,SVM (RBF),0.809477205241767,0.04491940572215979,"[0.856140350877, 0.748427672956, 0.821428571429, 0.811912225705]"
2,4,Tekstur,Random Forest,0.7728601942344335,0.03265559803818903,"[0.751515151515, 0.756592292089, 0.821428571429, 0.761904761905]"
2,4,Frekuensi,Logistic Regression,0.46797739297739294,0.1529086400875488,"[0.240740740741, 0.568253968254, 0.545454545455, 0.51746031746]"
2,4,Frekuensi,SVM (RBF),0.5690317546935931,0.04561130085799465,"[0.632051282051, 0.53125, 0.572595851666, 0.540229885057]"
2,4,Frekuensi,Random Forest,0.6119534378677431,0.071471961090235,"[0.566137566138, 0.605003291639, 0.561573178594, 0.7150997151]"
