left,right,patch_corr
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_betawi (3).jpg,0.0859
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_betawi (4).jpg,0.1637
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_betawi (5).jpg,0.2376
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kalimantan_dayak (1).jpg,0.1404
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kalimantan_dayak (2).jpg,0.1623
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kalimantan_dayak (3).jpg,0.2364
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kalimantan_dayak (4).jpg,0.19
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kalimantan_dayak (5).jpg,0.1233
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kawung (2).jpg,0.1177
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kawung (4).jpg,0.1448
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kawung (5).jpg,0.1431
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kawung.jpg,0.0909
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_kawung.png,0.1285
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_megamendung (1).jpg,0.1403
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_megamendung (1).webp,0.1701
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_megamendung (2).jpg,0.1816
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_megamendung (4).jpg,0.1197
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_megamendung (5).jpg,0.2584
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_parang (2).jpg,0.1263
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_parang (3).jpg,0.182
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_parang (4).jpg,0.0867
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_parang (5).jpg,0.1481
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_parang.jpg,0.1766
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_sogan (1).jpg,0.1424
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_sogan (2).jpg,0.147
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_sogan (3).jpg,0.1902
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_sogan (4).jpg,0.1366
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/batik/batik_sogan (5).jpg,0.1225
dataset_batik/batik/Batik Sekar Jagad/0.jpg,uji_eksternal/non_batik/flanel_kotak (1).jpg,0.1551
